stu_id,first_name,last_name,program_type,program_name,credits_earned,current_credits,next_term_registered,last_contact,enrollment_status,reg_hold,stop_out_terms,transfer_credits,_profile,_expected_flag
10210,Leonard,Benally,associates,Science,53,6,True,02/15/2026,active,False,,6,clean_no_flag,no_flag
10219,Shelly,Ethelbah,certificate,Nursing Assistant,7,0,False,2026-02-02,active,False,,0,clean_no_flag,no_flag
10901,Tohono,Redhouse,certificate,Administrative Office Technology,6,0,False,12/10/2025,active,False,,0,clean_no_flag,no_flag
10463,Jolene,Tsosie,associates,Liberal Arts,24,3,False,2025-12-26,active,False,,0,O_duplicate_higher,momentum_nudge_deterministic
10205,Gordon,Tsosie,associates,Education,9,0,False,12/20/2025,active,False,,0,clean_no_flag,no_flag
10970,Ruth,Goldtooth,certificate,Business Administration,9,0,False,2025-10-12,inactive,False,,0,M_inactive,no_flag
10591,Nizhoni,Goldtooth,AS-BUS,Education,24,3,Y,02/13/2026,active,False,,0,clean_no_flag,no_flag
10271,Theresa,Begay,certificate,Early Childhood Education,5,0,False,24-Apr-2026,active,False,,0,clean_no_flag,no_flag
10028,Herman,Cly,certificate,Early Childhood Education,15,3,False,09/11/2025,active,False,,0,B_momentum_certificate,momentum_nudge_deterministic
10693,Nizhoni,Silversmith,associates,Natural Resources,30,3,False,04-May-2026,active,False,,0,A_momentum_associates,momentum_nudge_deterministic
10763,Nizhoni,Tsosie,certificate,Nursing Assistant,10,3,False,09/15/2025,active,False,,0,G_below_threshold,momentum_nudge_llm
10279,Naat,Begay,associates,Science,6,0,False,02-Mar-2026,active,False,,0,clean_no_flag,no_flag
10676,Nizhoni,Begay,CERT-ECE,Natural Resources,13,0,False,03/25/2026,inactive,False,,0,M_inactive,no_flag
10097,Eugene,Nez,bachelors,Elementary Education,40,6,True,11/09/2025,active,False,,0,clean_no_flag,no_flag
10460,Carol,Ethelbah,associates,Liberal Arts,39,3,True,2025-11-13,active,False,,0,clean_no_flag,no_flag
10047,Carol,Redhouse,certificate,Administrative Office Technology,27,0,False,2026-01-20,active,False,,0,D_one_course_certificate,one_course_away_deterministic
10031,Chester,Cloudwalker,associates,Business Administration,36,3,False,2026-02-26,active,False,,0,A_momentum_associates,momentum_nudge_deterministic
10968,Jolene,Redhouse,certificate,Administrative Office Technology,6,0,False,2025-09-11,active,False,,0,clean_no_flag,no_flag
10217,Robert,Redhouse,associates,Natural Resources,19,3,False,2026-01-07,active,False,Spring 2024|Spring 2022,0,F_seasonal_stopout,momentum_nudge_llm
10906,Calvin,Blackhorse,certificate,Environmental Science Technology,11,3,False,04/05/2026,active,False,,0,G_below_threshold,momentum_nudge_llm
10952,Chester,Nez,associates,Natural Resources,23,3,False,07-Mar-2026,active,True,,0,N_registration_hold,no_flag_hold
10769,Jolene,Ethelbah,certificate,Nursing Assistant,30,0,False,01-Feb-2026,active,False,,0,K_already_eligible,one_course_away_llm
10704,Thomas,Nez,associates,Science,7,0,False,10/02/2025,active,False,,0,clean_no_flag,no_flag
10886,Shima,Tsosie,bachelors,Elementary Education,9,0,False,03/19/2026,active,False,,0,clean_no_flag,no_flag
10465,Tanya,Silversmith,certificate,Redrock Language and Culture,28,0,False,03/26/2026,active,False,,0,D_one_course_certificate,one_course_away_deterministic
10084,Angela,Cly,certificate,Environmental Science Technology,8,3,,01-Sep-2025,active,False,,0,clean_no_flag,no_flag
10872,Herman,Redhouse,associates,Liberal Arts,42,6,True,13-May-2026,active,False,,6,clean_no_flag,no_flag
10688,Marcus,Blackhorse,associates,Science,26,3,False,05-Nov-2025,active,True,,0,N_registration_hold,no_flag_hold
10603,Naat,Tsosie,associates,Liberal Arts,22,3,Y,2026-06-14,active,False,,0,clean_no_flag,no_flag
10948,Bidziil,Benally,associates,Natural Resources,58,0,False,25-Feb-2026,active,False,,0,E_one_course_associates,one_course_away_deterministic
10390,Theresa,Redhouse,bachelors,Elementary Education,48,6,False,12/16/2025,active,False,,0,C_momentum_bachelors,momentum_nudge_deterministic
10668,Theresa,Cloudwalker,bachelors,Redrock Studies,48,6,True,2026-06-10,active,False,,0,clean_no_flag,no_flag
10766,Dibe,Cloudwalker,associates,Science,22,3,True,2026-05-19,active,False,,3,clean_no_flag,no_flag
10653,Thomas,Begay,associates,Science,8,0,False,27-Mar-2026,active,False,,0,clean_no_flag,no_flag
10169,Harold,Cloudwalker,associates,Education,23,3,True,06/16/2026,active,False,,6,clean_no_flag,no_flag
10363,Ruth,Silversmithe\u0301,bachelors,Redrock Studies,8,0,False,21-Nov-2025,active,False,,0,clean_no_flag,no_flag
10286,Herman,Tsosie,certificate,Environmental Science Technology,12,3,True,28-Feb-2026,active,False,,0,clean_no_flag,no_flag
10687,Tohono,Nez,associates,Science,57,0,False,12-May-2026,active,False,,0,E_one_course_associates,one_course_away_deterministic
10921,Marcus,Tallman,associates,Business Administration,5,0,False,2025-12-16,active,False,,0,clean_no_flag,no_flag
10195,Calvin,Begay,associates,Science,13,3,True,2026-02-26,active,False,,3,clean_no_flag,no_flag
10747,Yanaba,Ethelbah,associates,Liberal Arts,58,0,False,03/26/2026,active,False,,0,E_one_course_associates,one_course_away_deterministic
10566,Bidziil,Redhouse,certificate,Redrock Language and Culture,27,0,False,14-Dec-2025,active,False,,0,D_one_course_certificate,one_course_away_deterministic
10070,Dawn,Tsosie,associates,Business Administration,15,3,True,2025-12-30,active,False,,0,clean_no_flag,no_flag
10409,Chester,Goldtooth,associates,Science,30,3,False,2026-02-25,active,,,0,H_unknown_hold,momentum_nudge_llm
10025,Tanya,Tsosie,associates,Liberal Arts,8,0,False,11/25/2025,active,False,,0,clean_no_flag,no_flag
10850,Lorraine,Whiterock,associates,Science,4,0,False,2026-05-26,active,False,,0,clean_no_flag,no_flag
10755,Sarah,Yazzie,associates,Science,6,0,False,19-Nov-2025,active,False,,0,clean_no_flag,no_flag
10553,Sani,Yazzie,associates,Natural Resources,,0,False,17-Jun-2026,active,False,,0,L_missing_credits,human_review_data_quality
10661,Harold,Begay,bachelors,Business Administration,60,0,True,10/26/2025,active,False,,0,clean_no_flag,no_flag
10414,Shelly,Tsosie,associates,Business Administration,26,3,Y,2025-08-30,active,False,,6,clean_no_flag,no_flag
10152,Sani,Goldtooth,associates,Education,7,0,False,2026-04-13,active,False,,0,clean_no_flag,no_flag
10094,Herman,Greyhorse,associates,Business Administration,54,0,False,2026-04-22,active,False,,9,I_transfer_pending,one_course_away_llm
10293,James,Hatathlie,certificate,Environmental Science Technology,19,3,True,06-Sep-2025,active,False,,0,clean_no_flag,no_flag
10748,James,Cloudwalker,bachelors,Business Administration,56,6,False,2025-09-16,active,False,,0,C_momentum_bachelors,momentum_nudge_deterministic
10684,Alvin,Runningwater,associates,Natural Resources,9,0,False,15-Jan-2026,active,False,,0,clean_no_flag,no_flag
10611,Yanaba,Whiterock,associates,Business Administration,56,0,False,12/02/2025,active,False,,6,I_transfer_pending,one_course_away_llm
10479,Chester,Whiterock,associates,Business Administration,18,3,,2026-04-28,active,False,,0,clean_no_flag,no_flag
10258,Raymond,Draper,associates,Science,57,0,False,2025-09-07,active,False,,27,J_dual_milestone,one_course_away_llm
10854,Yanaba,Hatathlie,associates,Natural Resources,8,0,False,14-Jan-2026,active,False,,0,clean_no_flag,no_flag
10256,Robert,Hatathlie,associates,Business Administration,48,3,,03-Nov-2025,active,False,,0,clean_no_flag,no_flag
10604,Tanya,Hatathlie,certificate,Administrative Office Technology,18,3,False,2026-06-14,active,False,,0,B_momentum_certificate,momentum_nudge_deterministic
10020,Leonard,Greyhorse,certificate,Science,12,0,False,2026-01-11,inactive,False,Fall 2023,0,M_inactive,no_flag
10301,Thomas,Silversmith,associates,Education,,0,False,03/29/2026,active,False,,0,L_missing_credits,human_review_data_quality
10862,Theresa,Bitsuie,associates,Natural Resources,,0,False,2026-03-08,active,False,,0,L_missing_credits,human_review_data_quality
10760,Jolene,Runningwater,associates,Science,24,3,False,2026-02-12,active,False,,0,A_momentum_associates,momentum_nudge_deterministic
10164,Ruth,Benally,associates,Business Administration,7,0,False,2025-12-04,active,False,,0,clean_no_flag,no_flag
10285,Chester,Fowler,certificate,Early Childhood Education,21,3,False,02/27/2026,active,False,,0,B_momentum_certificate,momentum_nudge_deterministic
10463,Jolene,Tsosie,associates,Liberal Arts,18,0,False,2026-02-22,active,False,,0,O_duplicate_lower,deduplication_discard
10996,Maria,Benally,associates,Natural Resources,,0,False,18-Mar-2026,active,False,,0,L_missing_credits,human_review_data_quality
10942,Gordon,Draper,bachelors,Redrock Studies,50,6,True,2026-03-29,active,False,,3,clean_no_flag,no_flag
